filename,timestamp,title,artists,album,acrid,played_duration,label,isrc,upc,dezzer,spotify,itunes,youtube,custom_files_title,audio_id
/root/Que/que/audio_files/uploadedFile.mp3,01 00:00:00,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:00:10,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:00:20,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:00:30,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:00:40,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:00:50,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:01:00,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:01:10,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:01:20,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:01:30,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:01:40,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:01:50,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:02:00,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:02:10,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:02:20,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:02:30,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:02:40,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:02:50,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
/root/Que/que/audio_files/uploadedFile.mp3,01 00:03:00,Always Remember Us This Way,Lady Gaga,A Star Is Born Soundtrack (Explicit),59ce45f7be7b1504a8bb999d9869eead,,A Star is Born OST,,,,,,,,
